codigo_ibge;munic�pio;mapasan;participou;uf;regiao;porte_sisan;porte_ibge;mais200milhab;capital;sisan;data_adesao;ano_adesao;mes_ano_adesao;codigo_sequencia;v9165;v9166;v9167;v9168;v9169;v9170;v9171;v9172;v9173;v9174;v14322_1;v14322_2;v14322_3;v14322_4;v14322_98;v14322_99;v14324;v9188_1;v9188_2;v9188_3;v9188_4;v9188_98;v9188_99;v9189;v9190_1;v9190_2;v9190_3;v9190_4;v9190_5;v9190_6;v9190_7;v9190_8;v9190_98;v9190_99;v9191;v9175;v9176;v9177;v9178_1;v9178_2;v9178_3;v9178_4;v9178_5;v9178_6;v9178_7;v9178_8;v9178_9;v9178_10;v9178_98;v9179;v9180;v9181;v9182;v9185_1;v9185_2;v9185_3;v9185_4;v9185_98;v9185_99;v9186;v9187;v14320;p_latitude;p_longitude
310730;310730;2018;4033;31;3;1;4;0;0;0;;;;2303;Banco de Alimentos da Prefeitura Municipal de Bocaiuva;Rua Jose Brandao Filho, 603;Centro;39390-000;Bocaiuva;MG;(38) 99601277;socialbocaiuva@hotmail.com;nao possui;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;1;1;$36.000,00;;;1;;1;;;1;;;;;;;;;;;;;;;1;1;-171160208;-438122678
431490;431490;2018;6047;43;4;5;7;1;1;1;27/nov/14;2014;01/nov/14;2120;Rede de Banco de Alimentos do RGS;Av. Francisco Silveira Bittencourt, 1928;Bairro Sarandi;91115-010;Porto Alegre;RS;(51) 30268020;bancodealimentos@bancodealimentosrs.org.br;nao sabe;1;;;;;;;;;;;;;;;;;;;;;;;;;;98;0;;;;1;;;;;;;;1;nao sabe;280;25000;180000;;1;1;;;;;0;1;-299922875;-511131266
350950;350950;2018;6047;35;3;5;7;1;0;0;;;;2003;BANCO MUNICIPAL DE ALIMENTOS CAMPINAS;Rodovia Dom Pedro I, Km 140,5-Pista Norte,;Jardim Santa Monica;13082-902;Campinas;SP;(19) 37461063;bancodealimentos@ceasacampinas.com.br;http://www.ceasacampinas.com.br/novo/Proj_Banco.asp;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;$1.480.389,84;;;;;;1;;1;;1;;;120;32000;43000;;1;1;;;;;0;1;-2284684837774470;-4709709180450440
352940;352940;2018;6047;35;3;4;6;1;0;0;;;;2091;Banco Municipal de Alimentos de Maua;Rua Rio Branco, 808;Centro;09310-110;Maua;SP;(11) 4519 - 8556 / 4519 - 8730;banco.alimentos@maua.sp.gov.br;www.maua.sp.gov.br;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;1;1;1;;;;1;1;;;120;14000;160000;;;;1;1;;Doacoes de empresas e CEAGESP;0;;-2366883681861200;-4646006584167480
411370;411370;2018;6047;41;4;5;7;1;0;0;;;;2052;Banco de Alimentos do CEASA/PR;Av. Brasilia, 10.000;Gleba Ribeirao Lindoia;80.030 - 003;Londrina;PR;(43) 33254713;dt@ceasa.pr.gov.br  editerocha@ceasa.pr.gov.br;http://www.ceasa.pr.gov.br/modules/conteudo/conteudo.php?conteudo=13;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;1;;;;1;1;;1;1;;;114;20972;50000;;;;;1;;Produtores de Londrina e regiao;0;0;-232958076;-510978368923058
420930;420930;2018;6047;42;4;3;6;0;0;1;27/nov/14;2014;01/nov/14;2077;Banco de Alimentos do Municipio de Lages;Rua Viscondi de Cairu;Centenario;88512-030;Lages;SC;(49) 32246296;bancoalimentos.sas@lages.sc.gov.br;Nao possui;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;$100.000,00;;;;1;1;1;1;1;1;1;1;Asilos;114;8000;26249;;;;1;1;;Parceria Mesa Brasil;0;0;-2.7831030727703E+16;-5033607459081390
430510;430510;2018;6047;43;4;5;7;1;0;1;20/nov/13;2013;01/nov/13;2072;Banco de Alimentos Caxias do Sul;Rua Jacob Luchesi, 3181 Portao 2;Santa Lucia COHAB;95032-000;Caxias do Sul;RS;(54) 32115943;bancodealimentos@caxias.rs.gov.br;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;1;1;$270.982,40;;;;;;1;1;1;1;1;1;Comunidades terapeuticas e Associacao de recicladores;107;8000;700000;;1;1;1;1;;alimentos apreendidos pela vigilancia sanitaria, ponto de safra, agricultores familiares, cooperativas;0;1;-2915336238216960;-5.1214654949812304E+16
410480;410480;2018;6047;41;4;4;6;1;0;1;03/ago/16;2016;01/ago/16;2064;Banco de Alimentos CEASA PR;ROD. BR 467 km 110,6;Brasmadeira;85813-450;Cascavel;PR;(45) 33236741;;www.ceasa.pr.gov.br;1;;;;;;;;;;;;;;;;;;;;;;;;;;98;1;;;;;;;;;;;;1;;100;40000;148590;;1;;1;1;;conab;99;;-2.49297389444371E+16;-5.34493231773376E+16
317020;317020;2018;6047;31;3;5;7;1;0;0;;;;2045;Prodal Banco de Alimentos;BR 050 Km 76 - CEASA;Segismundo Pereira;38408369;Uberlandia;MG;(34) 32341277;nadir@ceasaminas.com.br;www.ceasaminas.com.br;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;0;;;;;;1;1;1;;1;1;;;98;4500;90000;;;;;;;;0;0;-18919;-48277
354980;354980;2018;6047;35;3;4;6;1;0;0;;;;2097;Banco Municipal de Alimentos;Av. Feliciano Sales Cunha, nº 1801, Distrito Industrial;Distrito Industrial;15030000;Sao Jose do Rio Preto;SP;(17) 32312927;bmalimentos@riopreto.sp.gov.br;www.riopreto.sp.gov.br;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;$244.300,00;;1;1;1;1;1;1;1;1;1;;;90;40000;80000;;1;;1;1;;Doacoes de eventos beneficentes  Producao propria.;0;1;-2.08113277143332E+16;-4.94193202257156E+16
