codigo_ibge7;codigo_ibge6;municipio;uf;regiao;populacao_est2018;porte_ibge;porte_sisan;mapasan2018;sisan;data_adesao;participou;mais200milhab;capital;ano_adesao;mes_ano_adesao;codigo_sequencia;v9136;v9137;v9138;v9139;v9140;v9141;v9142;v9143;v9144;v9145;v9157_1;v9157_2;v9157_3;v9157_4;v9157_98;v9157_99;v9146;v9147;v9148;v9152;v9149;v9948;v9151;v9150;v9153;v9154_1;v9154_2;v9154_3;v9154_4;v9154_5;v9154_6;v9154_7;v9154_98;v9154_8;v9156;v9159_1;v9159_2;v9159_3;v9159_4;v9159_5;v9159_6;v9159_7;v9159_8;v9159_98;v9159_99;v9160;v9163_1;v9163_2;v9163_3;v9163_4;v9163_98;v9163_99;v14143;v14144_2;v14144_4;v14144_6;v14144_8;v14144_10;v14144_12;p_latitude;p_longitude
3506300;350630;3506300;35;3;11137;3;1;1;1;27/nov/14;6047;0;0;2014;01/nov/14;3681;COZINHA COMUNITARIA BANCO DA TERRA;Assentamento Banco da Terra;DOURADO;18960-000;Bernardino de Campos;SP;(14) 33468000;gabinete@bernardinodecampos.sp.gov.br;;1;;;;;;;99;0;;$5,00;0;;$10,00;15;99;;;;;;;;;;99;;;;;;;;;;;;;;;;;;0;;;;;;;-230140216;-494760724
4306106;430610;4306106;43;4;60693;5;2;1;0;;4032;0;0;;;3686;Cozinha Solidaria Maes Unidas na construcao da dignidade de suas familias.;Rua Turibio Verissimo, 2339.;Bairro Penha;98100-000;Cruz Alta;RS;(55) 33228008;joseteixeira@cruzalta.rs.gov.br;www;1;;;;1;;;1;1;$30.000,00;$1,15;2;;$1,15;30;0;;;;;;;;;;99;;;;;;;;;;;;;;;;;;99;;;;;;;-28639;-53606
3536109;353610;3536109;35;3;6360;2;1;1;0;;2018;0;0;;;3684;COZINHA COMUNITARIA MUNICIPAL;RUA: BATISTA CALDARDO Nº 35;CENTRO;18640-000;Pardinho;SP;(14) 38861241;;;1;;;;;;;3;1;$39.000,00;$4,00;1;;$0,00;120;0;;;;;;;;;;99;;;;;;;;;;;;;;;;;;1;;;;;;;-2.30809753896095E+16;-4837702989578240
3536109;353610;3536109;35;3;6360;2;1;1;0;;2018;0;0;;;3682;COZINHA COMUNITARIA DE PARDINHO;RUA:BATISTA CALDARDO  Nº 35;CENTRO;18640-000;Pardinho;SP;(14) 38861241;;NAO POSSUI;1;;;;;;;3;1;$390.000,00;$4,00;1;;$0,00;120;0;;;;;;;;;;99;;;;;;;;;;;;;;;;;;1;;;;;;;-2.30806990290125E+16;-4837700843811030
2707503;270750;2707503;27;2;20018;4;1;1;0;;2018;0;0;;;3677;SOPAO REAL;Avenida Moacir Andrade;CENTRO;57290-000;Porto Real do Colegio;AL;(82) 35531289;;;1;;;;;;;99;99;;;0;;$0,00;;0;;;;;;;;;;99;;;;;;;;;;;;;;;;;;1;;1;;;;;-1.01873204744946E+16;-3683585330843920
4103305;410330;4103305;41;4;6749;2;1;1;1;11/out/17;4033;0;0;2017;01/out/17;3516;Cozinha Comunitaria;Avenida Parana, s/n°, BR274;Centro;86925-000;Borrazopolis;PR;(43) 34521266;patriciapiresufpr@gmail.com;nao ha;1;;;;;;;1;99;;;99;;$0,00;25;99;;;;;;;;;;99;;;;;;;;;;;;;;;;;;;;;;;;;-2.39321716233297E+16;-5159053087234490
4314902;431490;4314902;43;4;1479101;7;5;1;1;27/nov/14;6047;1;1;2014;01/nov/14;3103;Restaurante Escola Rubem Berta;R. Wolfran Metzler, 650;Rubem Berta;91250320;Porto Alegre;RS;(51) 33907063;cleusicr@gmail.com;nao tem;1;;;;;;;3;0;;;2;;$4,00;150;1;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;0;;;;;;;-30033;-51.23
4314902;431490;4314902;43;4;1479101;7;5;1;1;27/nov/14;6047;1;1;2014;01/nov/14;3473;Cozinha Comunitaria Cooperativa de Educacao Ambiental e reciclagem Sepe Tiaraju -CEAR;Rua Frederico Mentz,1167;Humaita/Navegantes;90240-110;Porto Alegre;RS;(51) 92429126;mariadelourdeschavesfigueiredo@yahoo.com.br;;1;;;;;;;2;0;;$6,00;2;;$0,00;35;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-299899684;-512001341
2507507;250750;2507507;25;2;800323;7;5;1;1;20/mar/14;6047;1;1;2014;01/mar/14;3310;Cozinha comunitaria da Comunidade Taipa comunidade Taipa;Unid. 5 - Rua Joao Lourenco de Souza.;Costa e Silva;58081065;Joao Pessoa;PB;(83) 32145760;cozinhascomunitariaspmjp@gmail.com;www.joaopessoa.pb.gov.br;1;;;;;;;1;1;$2.794,00;$5,50;1;;$0,00;200;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-7182964863659430;-3489670872688290
4314902;431490;4314902;43;4;1479101;7;5;1;1;27/nov/14;6047;1;1;2014;01/nov/14;3476;cozinha comunitaria ONG Solidariedade;Rua Chico Pedro,490;Cristal;90910-650;Porto Alegre;RS;(51) 93049792;solidariedadeong@hotmail.com;;1;;;;;;;2;0;;$4,50;2;;$0,00;30;0;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;-30097134;-512380343
