codigo_sequencia;munic�pio;codigo_ibge;mapasan;participou;uf;regiao;porte_sisan;porte_ibge;mais200milhab;capital;sisan;data_adesao;ano_adesao;mes_ano_adesao;v9959;v9960;v9961;v9962;v9963;v9964;v9965;v9966;p_latitude;p_longitude
2;231395;231395;2018;6047;23;2;1;3;0;0;1;27/nov/14;2014;01/nov/14;FEIRA DE VARJOTA;1;1;RUA CLOVIS XIMENES;CENTRO;62265-000;Varjota;CE;-4192387597954670;-4047614336013790
3;355645;355645;2018;4033;35;3;2;5;0;0;0;;;;Feira Livre;2;1;Rua Harold Loyde;Jardim Olimpia;06730-000;Vargem Grande Paulista;SP;-2.36031214245379E+16;-4.7023018598556496E+16
10;412810;412810;2018;6047;41;4;3;6;0;0;1;21/mar/16;2016;01/mar/16;FEIRA DE DOMINGO;2;1;AV. PARIGOT DE SOUZA, AO LADO DO BOSQUE DO INDIO;ZONA I;87501-150;Umuarama;PR;-2.37653154423537E+16;-5330875396728510
11;521190;521190;2018;6047;52;5;2;5;0;0;0;;;;Feira Livre;1;1;Rua Rio Verde;Santa Maria;75800-000;Jatai;GO;-1788811025542420;-5172580003738400
15;420350;420350;2018;6047;42;4;1;2;0;0;1;20/mai/16;2016;01/mai/16;Mercado Regional da Agricultura Familiar;2;1;Avenida Getulio Vargas;Centro;89980-000;Campo Ere;SC;-2639642501647420;-5.30797576904296E+16
18;292400;292400;2018;6047;29;2;3;6;0;0;0;;;;Mercado Publico de Paulo Afonso;2;1;Rua Jose Hemeterio de Carvalho;Perpetuo Socorro;48604-320;Paulo Afonso;BA;-9402905112208930;-3822785139083860
19;311340;311340;2018;6047;31;3;2;5;0;0;1;10/fev/17;2017;01/fev/17;Mercado Municipal Carlos Roberto Carli;2;1;Rua Coronel Antonio da Silva 700B;Centro;35300-032;Caratinga;MG;-1978237280682000;-4.2137342691421504E+16
20;317070;317070;2018;6047;31;3;3;6;0;0;0;;;;Feira Municipal;2;1;Rua Orminda Vascocelos;Vila Floresta;37004-350;Varginha;MG;-21551;-45.43
27;354425;354425;2018;4033;35;3;1;3;0;0;0;;;;Feirinha;1;1;Av. dos Barrageiros;Primavera;18274-000;Rosana;SP;-2258267116872850;-5305945873260490
30;410510;410510;2018;6047;41;4;1;3;0;0;1;21/mar/16;2016;01/mar/16;FEIRINHA;1;1;PRACA:PADRE AURELIO BASSO;CENTRO;86630-000;Centenario do Sul;PR;-2.28208080163965E+16;-5159505844116210
37;260345;260345;2018;4033;26;2;3;6;0;0;0;;;;feira publica municipal;2;1;;carmelo;54768-000;Camaragibe;PE;-8022;-34981
43;290265;290265;2018;6047;29;2;1;3;0;0;0;;;;Feira Livre;2;1;Centro de abastecimento e ruas proximas vizinhas a avenida da emancipacao;centro;48405-000;Banzae;BA;-1058791658352780;-3861143946647640
47;431880;431880;2018;6047;43;4;1;4;0;0;0;;;;Popularmente conhecida como Feira da Praca;2;1;Praca Dede Serpa, PIO FERREIRA  Julio de Castilhos;centro;96170-000;Sao Lourenco do Sul;RS;-3.13721426161786E+16;-5199241161346430
48;171330;171330;2018;6047;17;1;1;3;0;0;0;;;;Feira Coberta de Miranorte/TO;1;1;Rua 14, esquina com Av. Castelo Branco;Vila Maria;77660-000;Miranorte;TO;-9531241637178910;-4858991146087640
51;315180;315180;2018;6047;31;3;3;6;0;0;1;20/mar/14;2014;01/mar/14;Feira Livre;2;1;Mercado Municipal de Pocos de Caldas e ruas do entorno.;Centro;37701-000;Pocos de Caldas;MG;-2.17860025499082E+16;-4656293392181390
53;412250;412250;2018;6047;41;4;1;3;0;0;0;;;;Feira do produtor;1;1;"Praca Moises Lupion, 89, centro, Roncador - Pr";Centro;87320-000;Roncador;PR;-2.45965728618857E+16;-5227567434310910
54;410910;410910;2018;6047;41;4;1;1;0;0;1;11/out/17;2017;01/out/17;Feira do Produtor Rural de Guaporema;1;1;Avenida Sao Jose;Centro;87810-000;Guaporema;PR;-2.33411874637982E+16;-527778842010498
55;410910;410910;2018;6047;41;4;1;1;0;0;1;11/out/17;2017;01/out/17;Feira do Produtor Rural de Guaporema;1;1;Avenida Sao Jose;Centro;87810-000;Guaporema;PR;-2.33411919522225E+16;-5277799844741820
