"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","categories/10","categories/11","categories/12","categories/13","categories/14","categoryName","city","countryCode","isAdvertisement","location/lat","location/lng","neighborhood","permanentlyClosed","placeId","postalCode","rank","reviewsCount","searchPageLoadedUrl","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url"
"R. Álvaro Puci, 235 - Centro, Campo Belo do Sul - SC, 88580-000, Brazil","General hospital",,,,,,,,,,,,,,,"General hospital","Campo Belo do Sul","BR","false","-27.8998394","-50.7603956","Centro","false","ChIJV1QdjifS4ZQRlmvQb3tPaiE","88580-000","1","2","https://www.google.com/maps/search/Hospital/@-27.9898319,-50.9727822,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-27.989831888286687,-50.972782218664264,10z?hl=en","Hospital","State of Santa Catarina","R. Álvaro Puci, 235","false","Hospital Nossa Senhora do Patrocínio","5","https://www.google.com/maps/search/?api=1&query=Hospital%20Nossa%20Senhora%20do%20Patroc%C3%ADnio&query_place_id=ChIJV1QdjifS4ZQRlmvQb3tPaiE"
"R. Frei Rogerio, 248 - Centro, Anita Garibaldi - SC, 88590-000, Brazil","Private hospital","General hospital",,,,,,,,,,,,,,"Private hospital","Anita Garibaldi, Santa Catarina","BR","false","-27.6872926","-51.1304166","Centro","false","ChIJVVVVVVyw3pQRtd_phug-R1s","88590-000","2","9","https://www.google.com/maps/search/Hospital/@-27.9898319,-50.9727822,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-27.989831888286687,-50.972782218664264,10z?hl=en","Hospital","State of Santa Catarina","R. Frei Rogerio, 248","false","Hospital Frei Rogério","4.9","https://www.google.com/maps/search/?api=1&query=Hospital%20Frei%20Rog%C3%A9rio&query_place_id=ChIJVVVVVVyw3pQRtd_phug-R1s"
"Pinhal da Serra - State of Rio Grande do Sul, 95390-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Pinhal da Serra","BR","false","-27.8754048","-51.1720619",,"false","ChIJe5vFGAPt4ZQRM8RtORKgYM4","95390-000","3","0","https://www.google.com/maps/search/Hospital/@-27.9898319,-50.9727822,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-27.989831888286687,-50.972782218664264,10z?hl=en","Hospital","State of Rio Grande do Sul",,"false","Posto De Saúde",,"https://www.google.com/maps/search/?api=1&query=Posto%20De%20Sa%C3%BAde&query_place_id=ChIJe5vFGAPt4ZQRM8RtORKgYM4"
"Abdon Batista - State of Santa Catarina, 89636-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Abdon Batista","BR","false","-27.6110966","-51.0210138",,"false","ChIJ4W-743yY4ZQRcfkQWvcinUc","89636-000","4","1","https://www.google.com/maps/search/Hospital/@-27.9898319,-50.9727822,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-27.989831888286687,-50.972782218664264,10z?hl=en","Hospital","State of Santa Catarina",,"false","Health Center","5","https://www.google.com/maps/search/?api=1&query=Health%20Center&query_place_id=ChIJ4W-743yY4ZQRcfkQWvcinUc"
"R. Guilherme Altair Espíndola - Anita Garibaldi, SC, 88590-000, Brazil","Medical Center",,,,,,,,,,,,,,,"Medical Center","Anita Garibaldi, Santa Catarina","BR","false","-27.6923905","-51.128693","Anita Garibaldi","false","ChIJ6fbO0YSQ4ZQRObMY8sxc20A","88590-000","5","1","https://www.google.com/maps/search/Hospital/@-27.9898319,-50.9727822,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-27.989831888286687,-50.972782218664264,10z?hl=en","Hospital","State of Santa Catarina","R. Guilherme Altair Espíndola","false","Health Center","5","https://www.google.com/maps/search/?api=1&query=Health%20Center&query_place_id=ChIJ6fbO0YSQ4ZQRObMY8sxc20A"
"R. Goldsmith Correia Gomes - Calama, Porto Velho - RO, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Porto Velho","BR","false","-8.0286322","-62.8755649","Calama","false","ChIJzalbHhZNMZIRypP7otzntj4",,"1","2","https://www.google.com/maps/search/Hospital/@-8.2759878,-62.9194353,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-8.275987825153877,-62.91943525147285,10z?hl=en","Hospital","State of Rondônia","R. Goldsmith Correia Gomes","false","Ministerio Pentecostal Adorador Reverente","5","https://www.google.com/maps/search/?api=1&query=Ministerio%20Pentecostal%20Adorador%20Reverente&query_place_id=ChIJzalbHhZNMZIRypP7otzntj4"
"569, Av. Sete de Setembro, 403, Itacoatiara - AM, 69100-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Itacoatiara","BR","false","-3.136761","-58.4436798","Do Iracy","false","ChIJuYS6UBRUb5IRkN-wzcGHW5g","69100-000","1","16","https://www.google.com/maps/search/Hospital/@-2.79992,-58.9372176,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-2.7999200298392024,-58.93721757386999,10z?hl=en","Hospital","State of Amazonas","569, Av. Sete de Setembro, 403","false","Hospital José Mendes","3.4","https://www.google.com/maps/search/?api=1&query=Hospital%20Jos%C3%A9%20Mendes&query_place_id=ChIJuYS6UBRUb5IRkN-wzcGHW5g"
"Av. Mário Andreazza, 2346-2498 - São Francisco, Itacoatiara - AM, 69100-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Itacoatiara","BR","false","-3.1235612","-58.4306739","São Francisco","false","ChIJ_4EGsydUb5IRhaCYy4Q8cCc","69100-000","2","18","https://www.google.com/maps/search/Hospital/@-2.79992,-58.9372176,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-2.7999200298392024,-58.93721757386999,10z?hl=en","Hospital","State of Amazonas","Av. Mário Andreazza, 2346-2498","false","UPA 24h","4.4","https://www.google.com/maps/search/?api=1&query=UPA%2024h&query_place_id=ChIJ_4EGsydUb5IRhaCYy4Q8cCc"
"R. Beija-Flor - Mutirão, Itacoatiara - AM, 69100-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Itacoatiara","BR","false","-3.1259711","-58.436856","Mutirão","false","ChIJHeD2kWlVb5IRxF5v4dsq7WA","69100-000","3","0","https://www.google.com/maps/search/Hospital/@-2.79992,-58.9372176,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-2.7999200298392024,-58.93721757386999,10z?hl=en","Hospital","State of Amazonas","R. Beija-Flor","false","Centro de especialidades odontológicas CEO Itacoatiara",,"https://www.google.com/maps/search/?api=1&query=Centro%20de%20especialidades%20odontol%C3%B3gicas%20CEO%20Itacoatiara&query_place_id=ChIJHeD2kWlVb5IRxF5v4dsq7WA"
"Avenida Parque, 482 - Centro, Itacoatiara - AM, 69100-063, Brazil","Government hospital",,,,,,,,,,,,,,,"Government hospital","Itacoatiara","BR","false","-3.1444557","-58.4467091","Centro","false","ChIJiZycUgVVb5IRtM1twr6TwFo","69100-063","4","4","https://www.google.com/maps/search/Hospital/@-2.79992,-58.9372176,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-2.7999200298392024,-58.93721757386999,10z?hl=en","Hospital","State of Amazonas","Avenida Parque, 482","false","U.B.S. Jose Resk Maklouf","3.8","https://www.google.com/maps/search/?api=1&query=U.B.S.%20Jose%20Resk%20Maklouf&query_place_id=ChIJiZycUgVVb5IRtM1twr6TwFo"
"Silves - State of Amazonas, 69114-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Silves","BR","false","-2.9153766","-58.5724372",,"false","ChIJVxU1ftBpb5IR3HFiEUtv3Is","69114-000","5","0","https://www.google.com/maps/search/Hospital/@-2.79992,-58.9372176,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-2.7999200298392024,-58.93721757386999,10z?hl=en","Hospital","State of Amazonas",,"false","Comunidade Santana",,"https://www.google.com/maps/search/?api=1&query=Comunidade%20Santana&query_place_id=ChIJVxU1ftBpb5IR3HFiEUtv3Is"
"Amatari, Itacoatiara - State of Amazonas, 69100-000, Brazil","Hospital",,,,,,,,,,,,,,,"Hospital","Itacoatiara","BR","false","-3.1993609","-59.0195257","Amatari","false","ChIJc6jSyVsrb5IRSJl0oZXPtqU","69100-000","6","4","https://www.google.com/maps/search/Hospital/@-2.79992,-58.9372176,10z?hl=en&entry=ttu","https://www.google.com/maps/search/Hospital/@-2.7999200298392024,-58.93721757386999,10z?hl=en","Hospital","State of Amazonas",,"false","Vale Do Amanhecer de Novo Remanso","4.8","https://www.google.com/maps/search/?api=1&query=Vale%20Do%20Amanhecer%20de%20Novo%20Remanso&query_place_id=ChIJc6jSyVsrb5IRSJl0oZXPtqU"
